mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,765,12/06/21,4:04:51,12/09/21,SchAgr,F3KXYH3/00001,12/08/21,30,80,1,286.00,12/08/21,9
1,807165907,0,12/20/21,4:04:56,12/20/21,SafeSt,SafetyStock,,,120.000-,1,145.00,12/22/21,9
1,807165907,184,12/20/21,4:04:56,12/21/21,SchAgr,F3KXYH3/00001*,12/20/21,10,240,1,204.00,12/22/21,9
1,807165907,648,12/20/21,4:04:56,12/22/21,SchAgr,F3KXYH3/00001*,12/21/21,10,240,982,12/22/21,9
1,807165907,0,12/09/21,7:19:38,12/09/21,SafeSt,SafetyStock,,,120.000-,1,502.00,12/11/21,9
1,807165907,0,12/16/21,7:19:52,12/16/21,SafeSt,SafetyStock,,,120.000-,887,12/18/21,9
1,807165907,2,12/16/21,7:19:52,12/14/21,ShipNt,0185535279/F3KXYH3,12/16/21,15,400,1,287.00,12/18/21,9
1,807165907,0,12/17/21,7:19:49,12/17/21,SafeSt,SafetyStock,,,120.000-,1,378.00,12/19/21,9
1,807165907,0,12/08/21,7:19:28,12/08/21,SafeSt,SafetyStock,,,120.000-,1,466.00,12/10/21,9
1,807165907,0,12/03/21,7:19:49,12/03/21,SafeSt,SafetyStock,,,120.000-,820,12/05/21,9
1,807165907,287,11/30/21,7:19:39,12/01/21,SchAgr,F3KXYH3/00001*,11/30/21,10,400,1,441.00,12/03/21,19
1,807165907,3598,11/30/21,7:19:39,01/15/22,SchAgr,F3KXYH3/00001,01/14/22,30,320,890,12/03/21,19
1,807165907,0,11/02/21,7:23:21,11/02/21,SafeSt,,,,,,12/03/21,19
1,807165907,723,12/01/21,7:19:34,12/03/21,SchAgr,F3KXYH3/00001*,12/02/21,10,240,1,191.00,12/03/21,19
1,807165907,0,10/30/21,7:23:31,10/30/21,SafeSt,,,,,,12/03/21,19
1,807165907,3556,11/30/21,7:19:39,12/22/21,SchAgr,F3KXYH3/00001,12/21/21,30,320,980,12/03/21,19
1,807165907,0,10/25/21,4:05:26,10/25/21,SafeSt,,,,,,12/03/21,19
1,807165907,0,01/08/22,7:19:46,01/08/22,SafeSt,SafetyStock,,,120.000-,1,230.00,01/10/22,9
1,807165907,3840,01/08/22,7:19:46,02/08/22,SchAgr,F3KXYH3/00001,02/07/22,30,400,1,376.00,01/10/22,9
1,807165907,0,01/10/22,4:04:54,01/10/22,SafeSt,SafetyStock,,,120.000-,1,358.00,01/12/22,9
